obs X Y

1 0.2775889 696.20174 
16 -0.886568 6.8234601

2 -0.517632 72.295359 
17 0.4935309 72.466261

3 -0.303792 113.55840 
18 0.7128258 2621.0541

4 -2.078444 1.8890014 
19 1.0458933 293.29129

5 1.4366185 650.52223 
20 -1.559868 5.5906742

6 -0.235768 96.996475 
21 0.9805923 339.38955

7 -0.868704 35.627923 
22 -0.597517 39.637404

8 1.8890238 31566.051 
23 -1.448257 36.087594

9 -1.743802 3.9250497 
24 0.443873 446.68841

10 -0.305831 445.65564 
25 0.1877068 520.12349

11 0.2756379 290.04645 
26 -0.295656 62.706673

12 1.0474655 402.32246 
27 -0.284534 116.83186

13 1.3234957 930.59459 
28 1.140876 3917.2343

14 -0.237969 56.925312 
29 0.1878306 179.25413

15 0.7173053 800.51180 
30 -0.153660 551.13103
