	tasanat	tasamor	mortinf	esphom	espmuj	pnb
albania	 24.70	5.70	30.80	69.60	75.50	600.00
bulgaria 12.50	11.90	14.40	68.30	74.70	2250.00
checos	 13.40	11.70	11.30	71.80	77.70	2980.00
hungria	 11.60	13.40	14.80	65.40	73.80	2780.00
polonia	 14.30	10.20	16.00	67.20	75.70	1690.00
rumania	 13.60	10.70	26.90	66.50	72.40	1640.00
urss	 17.70	10.00	23.00	64.40	74.00	2242.00
bielorus 15.20	9.50	13.10	66.40	75.90	1880.00
ucrania	 13.40	11.60	13.00	66.40	74.80	1320.00
argentina 20.70	8.40	25.70	65.50	72.70	2370.00
bolivia	46.60	18.00	111.00	51.00	55.40	630.00
brasil	28.60	7.90	63.00	62.30	67.60	2680.00
chile	23.40	5.80	17.10	68.10	75.10	1940.00
colombia	27.40	6.10	40.00	63.40	69.20	1260.00
ecuador	32.90	7.40	63.00	63.40	67.60	980.00
guayana	28.30	7.30	56.00	60.40	66.10	330.00
paraguay	34.80	6.60	42.00	64.40	68.50	1110.00
peru	32.90	8.30	109.90	56.80	66.50	1160.00
uruguay	18.00	9.60	21.90	68.40	74.90	2560.00
venezuela	27.50	4.40	23.30	66.70	72.80	2560.00
mexico	29.00	23.20	43.00	62.10	66.00	2490.00
belgica	12.00	10.60	7.90	70.00	76.80	15540.00
finlandia	13.20	10.10	5.80	70.70	78.70	26040.00
dinamarca	12.40	11.90	7.50	71.80	77.70	22080.00
francia	13.60	9.40	7.40	72.30	80.50	19490.00
alemania	11.40	11.20	7.40	71.80	78.40	22320.00
grecia	10.10	9.20	11.00	65.40	74.00	5990.00
irlanda	15.10	9.10	7.50	71.00	76.70	9550.00
italia	9.70	9.10	8.80	72.00	78.60	16830.00
paisesbaj	13.20	8.60	7.10	73.30	79.90	17320.00
noruega	14.30	10.70	7.80	67.20	75.70	23120.00
portugal	11.90	9.50	13.10	66.50	72.40	7600.00
espania	10.70	8.20	8.10	72.50	78.60	11020.00
suecia	14.50	11.10	5.60	74.20	80.00	23660.00
suiza	12.50	9.50	7.10	73.90	80.00	34064.00
reinouni	13.60	11.50	8.40	72.20	77.90	16100.00
austria	14.90	7.40	8.00	73.30	79.60	17000.00
japon	9.90	6.70	4.50	75.90	81.80	25430.00
canada	14.50	7.30	7.20	73.00	79.80	20470.00
eeuu	16.70	8.10	9.10	71.50	78.30	21790.00
afganistan	40.40	18.70	181.60	41.00	42.00	168.00
bahrein	28.40	3.80	16.00	66.80	69.40	6340.00
iran	42.50	11.50	108.10	55.80	55.00	2490.00
irak	42.60	7.80	69.00	63.00	64.80	3020.00
israel	22.30	6.30	9.70	73.90	77.40	10920.00
jordania	38.90	6.40	44.00	64.20	67.80	1240.00
kuwait	26.80	2.20	15.60	71.20	75.40	16150.00
oman	45.60	7.80	40.00	62.20	65.80	5220.00
arabia	42.10	7.60	71.00	61.70	65.20	7050.00
turquia	29.20	8.40	76.00	62.50	65.80	1630.00
emiratos	22.80	3.80	26.00	68.60	72.90	19860.00
bangladesh	42.20	15.50	119.00	56.90	56.00	210.00
china	21.20	6.70	32.00	68.00	70.90	380.00
hongkong	11.70	4.90	6.10	74.30	80.10	14210.00
india	30.50	10.20	91.00	52.50	52.10	350.00
indonesia	28.60	9.40	75.00	58.50	62.00	570.00
malasia	31.60	5.60	24.00	67.50	71.60	2320.00
mongolia	36.10	8.80	68.00	60.00	62.50	110.00
nepal	39.60	14.80	128.00	50.90	48.10	170.00
pakistan	30.30	8.10	107.70	59.00	59.20	380.00
filipinas	33.20	7.70	45.00	62.50	66.10	730.00
singapur	17.80	5.20	7.50	68.70	74.00	11160.00
srilanka	21.30	6.20	19.40	67.80	71.70	470.00
tailandia	22.30	7.70	28.00	63.60	68.90	1420.00
argelia	35.50	8.30	74.00	61.60	63.30	2060.00
angola	47.20	20.20	137.00	42.90	46.10	610.00
botswana	48.50	11.60	67.00	52.30	59.70	2040.00
congo	46.10	14.60	73.00	50.10	55.30	1010.00
egipto	38.80	9.50	49.40	57.80	60.30	600.00
etiopia	48.60	20.70	137.00	42.40	45.60	120.00
gabon	39.40	16.80	103.00	49.90	53.20	390.00
gambia	47.40	21.40	143.00	41.40	44.60	260.00
ghana	44.40	13.10	90.00	52.20	55.80	390.00
kenya	47.00	11.30	72.00	56.50	60.50	370.00
libia	44.00	9.40	82.00	59.10	62.60	5310.00
malawi	48.30	25.00	130.00	38.10	41.20	200.00
marruecos	35.50	9.80	82.00	59.10	62.50	960.00
mozambiq	45.00	18.50	141.00	44.90	48.10	80.00
namibia	44.00	12.10	135.00	55.00	57.50	1030.00
nigeria	48.50	15.60	105.00	48.80	52.20	360.00
sierraleona	48.20	23.40	154.00	39.40	42.60	240.00
somalia	50.10	20.20	132.00	43.40	46.60	120.00
sudafrica	32.10	9.90	72.00	57.50	63.50	2530.00
sudan	44.60	15.80	108.00	48.60	51.00	480.00
swaziland	46.80	12.50	118.00	42.90	49.50	810.00
tunez	31.10	7.30	52.00	64.90	66.40	1440.00
uganda	52.20	15.60	103.00	49.90	52.70	220.00
tanzania	50.50	14.00	106.00	51.30	54.70	110.00
zaire	45.60	14.20	83.00	50.30	53.70	220.00
zambia	51.10	13.70	80.00	50.40	52.50	420.00
zimbabue	41.70	10.30	66.00	56.50	60.10	640.00
